Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Score
7,99,9,1,91
4,82,4,2,65
8,51,7,2,45
5,52,5,2,36
7,75,8,5,66
3,78,9,6,61
7,73,5,6,63
8,45,4,6,42
5,77,8,2,61
4,89,4,0,69
8,91,4,5,84
8,79,6,2,73
3,47,9,2,27
6,47,4,2,33
5,79,7,8,68
2,72,4,3,43
8,73,8,4,67
6,83,7,2,70
2,54,4,9,30
5,75,7,0,63
1,99,4,3,71
6,96,9,0,85
9,74,7,6,73
1,85,5,6,57
3,61,6,3,35
7,62,7,4,49
4,79,8,9,66
9,84,6,6,83
3,94,6,5,74
5,90,4,3,74
3,61,7,3,39
7,44,9,1,36
5,70,6,9,58
9,52,8,1,47
7,67,9,3,60
2,97,9,4,74
4,59,8,3,42
9,72,8,2,68
2,55,4,1,32
9,68,5,3,64
5,62,7,4,45
2,63,6,0,39
4,73,7,0,58
7,46,9,5,36
8,77,6,4,71
3,76,4,3,54
1,43,7,0,17
4,73,4,6,54
2,81,4,3,58
8,61,7,2,53
4,44,7,6,27
2,89,6,1,65
6,81,9,9,75
6,62,9,0,52
4,93,8,3,78
6,99,4,7,91
2,54,9,5,33
2,70,5,8,47
4,98,6,0,78
8,48,6,0,38
7,82,8,4,70
9,97,8,5,98
8,92,4,7,87
5,64,6,2,49
2,64,6,5,41
5,88,5,2,71
8,60,4,7,54
9,48,4,3,42
9,94,9,1,91
1,87,8,8,61
9,77,9,9,74
7,61,4,7,54
9,82,5,5,81
8,62,4,2,52
1,88,9,1,65
8,43,7,3,36
8,68,7,3,61
3,54,5,0,35
1,40,8,8,15
8,93,6,9,88
3,69,4,7,45
3,68,9,6,49
1,59,8,5,33
5,72,9,2,60
7,80,8,3,71
9,83,4,1,81
7,75,6,6,67
9,99,4,1,95
8,61,6,9,58
2,52,9,0,29
1,46,5,5,21
7,47,6,3,38
7,67,8,7,60
8,84,5,0,76
5,82,9,8,69
3,48,7,5,30
8,64,5,1,57
6,95,6,7,81
3,55,5,4,36
1,49,9,4,25
3,50,5,4,27
5,70,9,6,61
3,51,7,6,34
1,99,6,9,76
5,70,8,6,57
7,53,5,9,45
7,90,4,1,76
9,83,8,7,83
3,71,5,0,50
7,89,8,1,81
1,92,4,6,66
4,56,8,3,38
4,74,8,9,56
5,40,4,9,25
7,68,4,8,56
7,90,4,8,82
4,43,7,2,23
7,62,9,2,56
3,67,9,8,46
6,55,4,9,43
2,51,9,7,30
9,92,8,0,92
5,60,4,5,45
6,84,5,6,70
4,56,4,7,36
7,79,4,1,71
9,52,9,0,49
7,91,6,3,82
1,97,8,0,71
1,71,9,1,43
9,76,8,2,77
9,89,5,3,86
4,54,7,5,34
9,51,6,7,49
3,88,5,8,69
7,96,5,3,84
6,54,8,0,41
8,73,6,4,68
9,45,8,4,44
5,56,7,8,41
1,87,8,5,58
3,88,4,4,68
8,96,8,9,94
6,59,4,9,47
8,48,5,4,40
9,98,7,7,100
4,44,9,0,23
1,62,4,4,36
1,72,7,0,47
4,77,8,6,60
7,95,9,6,83
2,53,8,9,33
3,56,5,7,36
1,96,8,6,74
5,58,4,8,42
1,72,5,7,47
8,40,7,7,31
1,52,5,2,26
1,85,7,9,58
2,66,6,3,42
2,45,4,3,18
6,98,4,0,85
7,45,7,5,36
5,72,8,1,58
1,69,9,8,45
1,85,8,0,60
3,74,6,0,56
2,62,7,9,42
5,49,6,5,33
6,90,7,0,77
7,58,6,2,51
4,90,7,9,72
7,67,4,1,57
8,62,6,8,53
1,43,6,4,16
6,59,7,5,45
8,58,5,1,49
5,81,5,7,67
4,66,4,5,49
2,96,8,7,73
6,73,8,7,65
6,43,4,0,27
1,95,8,6,72
9,77,9,1,74
6,46,9,7,38
3,87,9,1,67
4,46,9,3,28
4,89,7,1,73
3,91,5,6,72
3,65,4,4,42
3,65,7,8,47
4,93,9,4,77
7,58,4,7,49
4,48,5,1,30
9,59,8,2,54
1,81,7,5,56
8,84,5,6,75
7,89,4,9,78
2,55,6,7,32
8,93,7,2,89
1,56,4,6,29
9,61,4,7,57
9,52,5,9,48
2,51,4,5,27
7,49,7,3,38
3,40,9,5,18
7,71,7,8,66
9,69,4,2,65
4,47,5,1,27
1,60,7,4,33
2,61,6,6,37
1,57,9,2,29
5,41,8,4,26
5,87,5,3,72
7,83,5,6,77
9,48,8,1,45
9,42,8,6,41
3,93,7,1,73
3,65,4,2,43
3,60,4,4,39
4,69,6,6,54
8,67,9,5,62
6,75,4,6,63
8,65,6,5,59
1,73,6,0,46
8,47,5,4,42
4,49,5,0,30
1,87,9,6,63
8,94,7,3,89
4,82,8,4,62
6,89,8,0,77
8,93,9,7,88
4,53,6,3,35
3,79,9,2,60
9,94,8,0,92
3,54,6,3,38
9,56,8,2,56
2,92,7,7,70
2,57,5,8,35
2,71,5,4,47
6,77,6,8,66
3,62,9,0,43
9,85,8,6,81
4,62,4,6,43
1,74,7,5,46
4,78,8,3,61
1,54,4,8,27
5,92,7,2,77
4,63,7,0,43
8,67,5,1,60
8,55,6,2,48
7,55,8,1,47
3,79,7,5,60
1,78,8,6,53
1,45,7,4,19
3,41,9,4,23
6,93,5,6,81
7,52,6,5,41
6,83,4,7,71
6,86,4,8,75
6,98,9,1,89
3,48,5,1,28
6,73,7,0,60
8,56,5,6,54
2,66,6,3,41
5,68,4,8,52
1,76,8,5,53
1,82,4,6,52
5,61,6,6,47
3,90,7,7,71
4,63,5,3,42
3,46,4,2,21
1,73,4,2,48
1,87,8,9,64
5,51,5,7,38
6,62,8,2,49
3,54,8,7,35
9,72,7,1,73
5,96,4,4,81
8,52,9,4,47
1,62,5,6,36
5,77,7,4,63
3,71,9,8,52
1,84,7,2,58
4,89,7,8,77
5,74,6,0,58
7,40,6,2,33
1,86,7,3,67
3,97,6,5,76
2,84,5,9,62
9,44,4,7,37
6,96,9,6,86
3,52,5,7,37
8,93,4,5,88
8,44,6,5,38
2,99,9,5,76
6,71,5,2,57
7,90,8,9,82
2,60,7,3,35
2,63,4,5,41
1,99,4,6,75
8,57,8,2,51
1,60,8,3,34
9,93,7,5,92
6,49,6,0,39
7,63,5,6,56
7,79,5,0,69
3,86,5,9,69
2,60,6,8,40
9,64,7,9,63
8,91,5,8,86
7,99,4,8,89
9,96,4,3,94
4,98,4,1,79
4,62,8,6,44
1,61,8,3,33
8,43,6,4,36
3,73,5,0,50
7,95,8,9,94
2,45,4,5,22
2,67,8,6,44
7,70,4,2,60
6,74,5,9,64
3,78,6,1,58
9,81,7,9,78
6,62,7,6,51
6,45,4,0,30
1,55,8,1,29
4,41,8,2,22
6,63,4,3,51
6,56,5,4,45
5,84,4,3,70
1,40,5,9,10
8,45,6,2,38
5,44,6,0,30
5,96,4,6,82
7,84,6,9,74
4,99,8,5,87
6,94,5,1,77
4,89,7,1,72
3,68,7,2,51
7,51,6,7,40
8,78,5,7,72
4,86,8,9,68
2,42,7,9,22
3,87,8,9,67
1,40,8,9,18
8,66,7,7,64
3,87,7,6,66
7,63,6,1,50
5,83,5,0,68
5,58,4,5,44
7,98,5,7,90
9,47,4,0,41
5,94,7,2,83
1,83,8,0,57
1,86,5,9,64
2,41,8,8,18
6,69,5,6,62
9,69,9,7,66
8,88,5,8,85
5,78,8,2,62
1,84,9,9,62
7,71,6,1,62
5,40,7,5,26
6,77,6,4,66
7,52,6,3,43
3,50,5,5,30
3,49,7,5,25
5,87,9,2,77
6,98,5,1,88
9,65,4,8,62
5,95,5,7,82
1,94,9,3,73
4,59,8,5,44
5,56,5,2,40
5,56,4,7,39
7,43,5,2,34
4,44,9,1,27
1,99,4,6,73
5,62,7,2,46
7,85,9,8,78
6,91,5,2,80
5,49,4,7,33
4,85,9,1,68
2,67,7,8,45
4,72,8,0,56
3,82,6,2,58
1,65,4,1,37
8,94,8,6,88
5,89,7,4,75
4,87,8,7,70
8,68,5,1,62
